"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Clay County, FL","12019","Under 15 years","15",0
,"Clay County, FL","12019","15-19 years","15-19",127
,"Clay County, FL","12019","20-24 years","20-24",514
,"Clay County, FL","12019","25-29 years","25-29",714
,"Clay County, FL","12019","30-34 years","30-34",565
,"Clay County, FL","12019","35-39 years","35-39",239
,"Clay County, FL","12019","40-44 years","40-44",46
,"Clay County, FL","12019","45-49 years","45-49",Suppressed
,"Clay County, FL","12019","50 years and over","50+",Suppressed
,"Collier County, FL","12021","Under 15 years","15",Suppressed
,"Collier County, FL","12021","15-19 years","15-19",153
,"Collier County, FL","12021","20-24 years","20-24",604
,"Collier County, FL","12021","25-29 years","25-29",998
,"Collier County, FL","12021","30-34 years","30-34",928
,"Collier County, FL","12021","35-39 years","35-39",505
,"Collier County, FL","12021","40-44 years","40-44",124
,"Collier County, FL","12021","45-49 years","45-49",Suppressed
,"Collier County, FL","12021","50 years and over","50+",Suppressed
,"Duval County, FL","12031","Under 15 years","15",Suppressed
,"Duval County, FL","12031","15-19 years","15-19",739
,"Duval County, FL","12031","20-24 years","20-24",3036
,"Duval County, FL","12031","25-29 years","25-29",4151
,"Duval County, FL","12031","30-34 years","30-34",3527
,"Duval County, FL","12031","35-39 years","35-39",1528
,"Duval County, FL","12031","40-44 years","40-44",275
,"Duval County, FL","12031","45-49 years","45-49",31
,"Duval County, FL","12031","50 years and over","50+",0
,"Escambia County, FL","12033","Under 15 years","15",Suppressed
,"Escambia County, FL","12033","15-19 years","15-19",267
,"Escambia County, FL","12033","20-24 years","20-24",1061
,"Escambia County, FL","12033","25-29 years","25-29",1267
,"Escambia County, FL","12033","30-34 years","30-34",913
,"Escambia County, FL","12033","35-39 years","35-39",399
,"Escambia County, FL","12033","40-44 years","40-44",54
,"Escambia County, FL","12033","45-49 years","45-49",Suppressed
,"Escambia County, FL","12033","50 years and over","50+",0
,"Hernando County, FL","12053","Under 15 years","15",0
,"Hernando County, FL","12053","15-19 years","15-19",107
,"Hernando County, FL","12053","20-24 years","20-24",399
,"Hernando County, FL","12053","25-29 years","25-29",557
,"Hernando County, FL","12053","30-34 years","30-34",359
,"Hernando County, FL","12053","35-39 years","35-39",143
,"Hernando County, FL","12053","40-44 years","40-44",20
,"Hernando County, FL","12053","45-49 years","45-49",0
,"Hernando County, FL","12053","50 years and over","50+",0
,"Hillsborough County, FL","12057","Under 15 years","15",Suppressed
,"Hillsborough County, FL","12057","15-19 years","15-19",837
,"Hillsborough County, FL","12057","20-24 years","20-24",3620
,"Hillsborough County, FL","12057","25-29 years","25-29",5093
,"Hillsborough County, FL","12057","30-34 years","30-34",4908
,"Hillsborough County, FL","12057","35-39 years","35-39",2358
,"Hillsborough County, FL","12057","40-44 years","40-44",465
,"Hillsborough County, FL","12057","45-49 years","45-49",33
,"Hillsborough County, FL","12057","50 years and over","50+",Suppressed
,"Indian River County, FL","12061","Under 15 years","15",0
,"Indian River County, FL","12061","15-19 years","15-19",88
,"Indian River County, FL","12061","20-24 years","20-24",276
,"Indian River County, FL","12061","25-29 years","25-29",368
,"Indian River County, FL","12061","30-34 years","30-34",321
,"Indian River County, FL","12061","35-39 years","35-39",154
,"Indian River County, FL","12061","40-44 years","40-44",36
,"Indian River County, FL","12061","45-49 years","45-49",Suppressed
,"Indian River County, FL","12061","50 years and over","50+",0
,"Lake County, FL","12069","Under 15 years","15",0
,"Lake County, FL","12069","15-19 years","15-19",205
,"Lake County, FL","12069","20-24 years","20-24",810
,"Lake County, FL","12069","25-29 years","25-29",990
,"Lake County, FL","12069","30-34 years","30-34",798
,"Lake County, FL","12069","35-39 years","35-39",380
,"Lake County, FL","12069","40-44 years","40-44",82
,"Lake County, FL","12069","45-49 years","45-49",Suppressed
,"Lake County, FL","12069","50 years and over","50+",Suppressed
,"Lee County, FL","12071","Under 15 years","15",Suppressed
,"Lee County, FL","12071","15-19 years","15-19",404
,"Lee County, FL","12071","20-24 years","20-24",1509
,"Lee County, FL","12071","25-29 years","25-29",2003
,"Lee County, FL","12071","30-34 years","30-34",1769
,"Lee County, FL","12071","35-39 years","35-39",854
,"Lee County, FL","12071","40-44 years","40-44",193
,"Lee County, FL","12071","45-49 years","45-49",10
,"Lee County, FL","12071","50 years and over","50+",Suppressed
,"Leon County, FL","12073","Under 15 years","15",Suppressed
,"Leon County, FL","12073","15-19 years","15-19",126
,"Leon County, FL","12073","20-24 years","20-24",650
,"Leon County, FL","12073","25-29 years","25-29",904
,"Leon County, FL","12073","30-34 years","30-34",852
,"Leon County, FL","12073","35-39 years","35-39",384
,"Leon County, FL","12073","40-44 years","40-44",64
,"Leon County, FL","12073","45-49 years","45-49",Suppressed
,"Leon County, FL","12073","50 years and over","50+",0
,"Manatee County, FL","12081","Under 15 years","15",Suppressed
,"Manatee County, FL","12081","15-19 years","15-19",233
,"Manatee County, FL","12081","20-24 years","20-24",759
,"Manatee County, FL","12081","25-29 years","25-29",1010
,"Manatee County, FL","12081","30-34 years","30-34",909
,"Manatee County, FL","12081","35-39 years","35-39",431
,"Manatee County, FL","12081","40-44 years","40-44",89
,"Manatee County, FL","12081","45-49 years","45-49",Suppressed
,"Manatee County, FL","12081","50 years and over","50+",Suppressed
,"Marion County, FL","12083","Under 15 years","15",Suppressed
,"Marion County, FL","12083","15-19 years","15-19",274
,"Marion County, FL","12083","20-24 years","20-24",970
,"Marion County, FL","12083","25-29 years","25-29",1120
,"Marion County, FL","12083","30-34 years","30-34",740
,"Marion County, FL","12083","35-39 years","35-39",301
,"Marion County, FL","12083","40-44 years","40-44",56
,"Marion County, FL","12083","45-49 years","45-49",Suppressed
,"Marion County, FL","12083","50 years and over","50+",0
,"Martin County, FL","12085","Under 15 years","15",0
,"Martin County, FL","12085","15-19 years","15-19",67
,"Martin County, FL","12085","20-24 years","20-24",218
,"Martin County, FL","12085","25-29 years","25-29",361
,"Martin County, FL","12085","30-34 years","30-34",375
,"Martin County, FL","12085","35-39 years","35-39",211
