"Mechanism","State","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Drowning (includes water transport)","Kansas","2022","37","2,936,716","1.26","1.27","776"
"Drowning (includes water transport)","Kansas","2021","36","2,937,946","1.23","1.17","1,020"
"Drowning (includes water transport)","Kansas","2020","35","2,938,124","1.19","1.14","916"
"Drowning (includes water transport)","Kansas","2019","29","2,912,635","1.00","0.96","714"
"Drowning (includes water transport)","Kansas","2018","35","2,912,748","1.20","1.14","924"
"Drowning (includes water transport)","Kentucky","2023","54","4,526,154","1.19","1.18","1,402"
"Drowning (includes water transport)","Kentucky","2022","62","4,511,563","1.37","1.35","1,795"
"Drowning (includes water transport)","Kentucky","2021","71","4,507,600","1.58","1.55","2,034"
"Drowning (includes water transport)","Kentucky","2020","71","4,508,155","1.58","1.62","2,098"
"Drowning (includes water transport)","Kentucky","2019","66","4,472,345","1.48","1.46","1,818"
"Drowning (includes water transport)","Kentucky","2018","67","4,464,273","1.50","1.50","1,619"
"Drowning (includes water transport)","Louisiana","2023","102","4,573,749","2.23","2.20","2,657"
"Drowning (includes water transport)","Louisiana","2022","107","4,588,023","2.33","2.31","2,538"
"Drowning (includes water transport)","Louisiana","2021","126","4,627,047","2.72","2.78","3,469"
"Drowning (includes water transport)","Louisiana","2020","113","4,652,022","2.43","2.51","3,638"
"Drowning (includes water transport)","Louisiana","2019","105","4,658,285","2.25","2.20","2,680"
"Drowning (includes water transport)","Louisiana","2018","83","4,664,450","1.78","1.74","2,476"
"Drowning (includes water transport)","Maine","2023","19**","1,395,722","1.36**","1.27**","329"
"Drowning (includes water transport)","Maine","2022","26","1,389,338","1.87","1.87","577"
"Drowning (includes water transport)","Maine","2021","18**","1,378,787","1.31**","1.48**","553"
"Drowning (includes water transport)","Maine","2020","22","1,364,517","1.61","1.42","415"
"Drowning (includes water transport)","Maine","2019","24","1,345,770","1.78","1.67","402"
"Drowning (includes water transport)","Maine","2018","16**","1,340,123","1.19**","1.18**","381"
"Drowning (includes water transport)","Maryland","2023","61","6,180,253","0.99","1.00","1,731"
"Drowning (includes water transport)","Maryland","2022","46","6,163,981","0.75","0.72","1,064"
"Drowning (includes water transport)","Maryland","2021","58","6,175,045","0.94","0.95","1,407"
"Drowning (includes water transport)","Maryland","2020","68","6,173,689","1.10","1.09","1,576"
"Drowning (includes water transport)","Maryland","2019","56","6,054,954","0.93","0.89","1,382"
"Drowning (includes water transport)","Maryland","2018","64","6,042,153","1.06","1.04","1,468"
"Drowning (includes water transport)","Massachusetts","2023","57","7,001,399","0.81","0.78","1,186"
"Drowning (includes water transport)","Massachusetts","2022","56","6,982,740","0.80","0.77","1,296"
"Drowning (includes water transport)","Massachusetts","2021","57","6,991,951","0.82","0.81","1,528"
"Drowning (includes water transport)","Massachusetts","2020","50","6,997,713","0.72","0.69","1,053"
"Drowning (includes water transport)","Massachusetts","2019","55","6,894,883","0.80","0.72","1,002"
"Drowning (includes water transport)","Massachusetts","2018","74","6,885,720","1.08","1.04","1,719"
"Drowning (includes water transport)","Michigan","2023","84","10,037,261","0.84","0.77","1,638"
"Drowning (includes water transport)","Michigan","2022","119","10,033,281","1.19","1.10","2,589"
"Drowning (includes water transport)","Michigan","2021","131","10,038,117","1.31","1.25","3,190"
"Drowning (includes water transport)","Michigan","2020","140","10,070,627","1.39","1.29","2,777"
"Drowning (includes water transport)","Michigan","2019","112","9,984,795","1.12","1.08","2,603"
"Drowning (includes water transport)","Michigan","2018","130","9,987,286","1.30","1.29","3,213"
"Drowning (includes water transport)","Minnesota","2023","61","5,737,915","1.06","1.03","1,666"
"Drowning (includes water transport)","Minnesota","2022","72","5,714,300","1.26","1.17","1,508"
"Drowning (includes water transport)","Minnesota","2021","80","5,717,968","1.40","1.35","2,060"
