"Mechanism","State","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Cut/Pierce","Montana","2023","--","1,132,812","--","--","--"
"Cut/Pierce","Montana","2022","17**","1,122,878","1.51**","1.34**","331"
"Cut/Pierce","Montana","2021","11**","1,106,366","0.99**","0.99**","220"
"Cut/Pierce","Montana","2020","14**","1,087,211","1.29**","1.47**","363"
"Cut/Pierce","Montana","2019","--","1,070,123","--","--","--"
"Cut/Pierce","Montana","2018","--","1,061,818","--","--","--"
"Cut/Pierce","Nebraska","2023","14**","1,978,379","0.71**","0.72**","277"
"Cut/Pierce","Nebraska","2022","12**","1,968,060","0.61**","0.63**","270"
"Cut/Pierce","Nebraska","2021","12**","1,964,253","0.61**","0.61**","240"
"Cut/Pierce","Nebraska","2020","17**","1,963,273","0.87**","0.87**","417"
"Cut/Pierce","Nebraska","2019","--","1,932,571","--","--","--"
"Cut/Pierce","Nebraska","2018","--","1,925,512","--","--","--"
"Cut/Pierce","Nevada","2023","50","3,194,176","1.57","1.58","1,069"
"Cut/Pierce","Nevada","2022","49","3,177,421","1.54","1.42","822"
"Cut/Pierce","Nevada","2021","32","3,146,632","1.02","1.00","639"
"Cut/Pierce","Nevada","2020","36","3,115,840","1.16","1.20","862"
"Cut/Pierce","Nevada","2019","19**","3,090,771","0.62**","0.62**","358"
"Cut/Pierce","Nevada","2018","34","3,030,725","1.12","1.05","722"
"Cut/Pierce","New Hampshire","2023","13**","1,402,054","0.93**","0.81**","167"
"Cut/Pierce","New Hampshire","2022","--","1,399,003","--","--","--"
"Cut/Pierce","New Hampshire","2021","--","1,387,494","--","--","--"
"Cut/Pierce","New Hampshire","2020","--","1,378,702","--","--","--"
"Cut/Pierce","New Hampshire","2019","10**","1,360,783","0.74**","0.64**","121"
"Cut/Pierce","New Hampshire","2018","10**","1,355,064","0.74**","0.64**","173"
"Cut/Pierce","New Jersey","2023","70","9,290,841","0.75","0.72","1,612"
"Cut/Pierce","New Jersey","2022","75","9,260,817","0.81","0.79","1,424"
"Cut/Pierce","New Jersey","2021","61","9,269,175","0.66","0.67","1,356"
"Cut/Pierce","New Jersey","2020","81","9,272,392","0.87","0.83","1,667"
"Cut/Pierce","New Jersey","2019","66","8,891,258","0.74","0.70","1,327"
"Cut/Pierce","New Jersey","2018","63","8,891,730","0.71","0.68","1,276"
"Cut/Pierce","New Mexico","2023","32","2,114,371","1.51","1.60","726"
"Cut/Pierce","New Mexico","2022","36","2,113,476","1.70","1.71","824"
"Cut/Pierce","New Mexico","2021","49","2,116,950","2.32","2.43","950"
"Cut/Pierce","New Mexico","2020","35","2,118,488","1.65","1.65","719"
"Cut/Pierce","New Mexico","2019","33","2,099,634","1.57","1.71","750"
"Cut/Pierce","New Mexico","2018","32","2,093,754","1.53","1.58","724"
"Cut/Pierce","New York","2023","207","19,571,216","1.06","1.04","4,852"
"Cut/Pierce","New York","2022","238","19,673,200","1.21","1.18","5,451"
"Cut/Pierce","New York","2021","207","19,854,526","1.04","1.02","4,610"
"Cut/Pierce","New York","2020","208","20,104,710","1.04","1.03","4,865"
"Cut/Pierce","New York","2019","176","19,463,131","0.90","0.90","4,109"
"Cut/Pierce","New York","2018","166","19,544,098","0.85","0.83","3,963"
"Cut/Pierce","North Carolina","2023","80","10,835,491","0.74","0.70","1,621"
"Cut/Pierce","North Carolina","2022","79","10,695,965","0.74","0.73","1,586"
"Cut/Pierce","North Carolina","2021","67","10,567,100","0.63","0.60","1,387"
"Cut/Pierce","North Carolina","2020","71","10,453,812","0.68","0.66","1,356"
"Cut/Pierce","North Carolina","2019","98","10,501,384","0.93","0.93","2,222"
"Cut/Pierce","North Carolina","2018","77","10,391,358","0.74","0.71","1,408"
"Cut/Pierce","North Dakota","2023","--","783,926","--","--","--"
"Cut/Pierce","North Dakota","2022","--","778,912","--","--","--"
"Cut/Pierce","North Dakota","2021","--","777,982","--","--","--"
"Cut/Pierce","North Dakota","2020","--","779,563","--","--","--"
"Cut/Pierce","North Dakota","2019","--","763,724","--","--","--"
"Cut/Pierce","North Dakota","2018","--","760,062","--","--","--"
"Cut/Pierce","Ohio","2023","68","11,785,935","0.58","0.56","1,250"
"Cut/Pierce","Ohio","2022","104","11,759,697","0.88","0.91","2,137"
"Cut/Pierce","Ohio","2021","67","11,765,227","0.57","0.59","1,462"
"Cut/Pierce","Ohio","2020","102","11,798,292","0.87","0.87","2,306"
"Cut/Pierce","Ohio","2019","71","11,696,507","0.61","0.62","1,445"
"Cut/Pierce","Ohio","2018","100","11,680,892","0.86","0.85","2,147"
"Cut/Pierce","Oklahoma","2023","40","4,053,824","0.99","1.02","789"
