"Mechanism","Age Group","State","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"","5 to 9","Maine","2023","--","68,303","0.00**","--","--"
"","5 to 9","Maine","2022","--","68,528","0.00**","--","--"
"","5 to 9","Maine","2021","--","68,320","0.00**","--","--"
"","5 to 9","Maine","2020","--","68,002","0.00**","--","--"
"","5 to 9","Maine","2019","--","67,500","0.00**","--","--"
"","5 to 9","Maryland","2020","--","381,196","0.00**","--","--"
"","5 to 9","Massachusetts","2023","--","365,200","0.00**","--","--"
"","5 to 9","Massachusetts","2022","--","367,357","0.00**","--","--"
"","5 to 9","Massachusetts","2021","--","370,864","0.00**","--","--"
"","5 to 9","Massachusetts","2020","--","374,938","0.00**","--","--"
"","5 to 9","Massachusetts","2018","--","370,569","0.00**","--","--"
"","5 to 9","Minnesota","2023","--","363,183","0.00**","--","--"
"","5 to 9","Minnesota","2018","--","360,862","0.00**","--","--"
"","5 to 9","Missouri","2022","--","381,077","0.00**","--","--"
"","5 to 9","Montana","2023","--","66,059","0.00**","--","--"
"","5 to 9","Montana","2021","--","66,193","0.00**","--","--"
"","5 to 9","Montana","2020","--","65,090","0.00**","--","--"
"","5 to 9","Montana","2019","--","64,018","0.00**","--","--"
"","5 to 9","Montana","2018","--","63,595","0.00**","--","--"
"","5 to 9","Nebraska","2023","--","134,844","0.00**","--","--"
"","5 to 9","Nebraska","2022","--","135,345","0.00**","--","--"
"","5 to 9","Nebraska","2021","--","135,217","0.00**","--","--"
"","5 to 9","Nebraska","2020","--","134,916","0.00**","--","--"
"","5 to 9","Nebraska","2019","--","132,469","0.00**","--","--"
"","5 to 9","Nebraska","2018","--","132,435","0.00**","--","--"
"","5 to 9","Nevada","2022","--","192,548","0.00**","--","--"
"","5 to 9","Nevada","2021","--","192,342","0.00**","--","--"
"","5 to 9","Nevada","2019","--","193,644","0.00**","--","--"
"","5 to 9","New Hampshire","2023","--","67,784","0.00**","--","--"
"","5 to 9","New Hampshire","2021","--","69,162","0.00**","--","--"
"","5 to 9","New Hampshire","2020","--","69,100","0.00**","--","--"
"","5 to 9","New Hampshire","2019","--","68,954","0.00**","--","--"
"","5 to 9","New Hampshire","2018","--","69,456","0.00**","--","--"
"","5 to 9","New Jersey","2019","--","533,575","0.00**","--","--"
"","5 to 9","New Mexico","2022","--","125,840","0.00**","--","--"
"","5 to 9","New Mexico","2021","--","128,286","0.00**","--","--"
"","5 to 9","New Mexico","2020","--","130,513","0.00**","--","--"
"","5 to 9","New Mexico","2019","--","133,072","0.00**","--","--"
"","5 to 9","New Mexico","2018","--","135,089","0.00**","--","--"
"","5 to 9","New York","2022","--","1,118,891","0.00**","--","--"
"","5 to 9","New York","2021","--","1,140,954","0.00**","--","--"
"","5 to 9","New York","2018","--","1,121,194","0.00**","--","--"
"","5 to 9","North Dakota","2023","--","53,378","0.00**","--","--"
"","5 to 9","North Dakota","2022","--","53,316","0.00**","--","--"
"","5 to 9","North Dakota","2020","--","52,707","0.00**","--","--"
"","5 to 9","North Dakota","2019","--","51,179","0.00**","--","--"
"","5 to 9","Oklahoma","2020","--","268,054","0.00**","--","--"
"","5 to 9","Oregon","2023","--","230,120","0.00**","--","--"
"","5 to 9","Oregon","2021","--","239,561","0.00**","--","--"
"","5 to 9","Oregon","2020","--","241,621","0.00**","--","--"
"","5 to 9","Oregon","2019","--","242,538","0.00**","--","--"
"","5 to 9","Pennsylvania","2018","--","726,835","0.00**","--","--"
"","5 to 9","Rhode Island","2023","--","56,349","0.00**","--","--"
"","5 to 9","Rhode Island","2022","--","56,644","0.00**","--","--"
"","5 to 9","Rhode Island","2021","--","56,888","0.00**","--","--"
"","5 to 9","Rhode Island","2020","--","56,903","0.00**","--","--"
"","5 to 9","Rhode Island","2019","--","54,998","0.00**","--","--"
"","5 to 9","Rhode Island","2018","--","55,179","0.00**","--","--"
"","5 to 9","South Dakota","2023","--","62,339","0.00**","--","--"
"","5 to 9","South Dakota","2022","--","62,053","0.00**","--","--"
"","5 to 9","South Dakota","2021","--","61,266","0.00**","--","--"
"","5 to 9","South Dakota","2020","--","60,781","0.00**","--","--"
"","5 to 9","South Dakota","2019","--","61,136","0.00**","--","--"
"","5 to 9","South Dakota","2018","--","60,701","0.00**","--","--"
"","5 to 9","Utah","2019","--","259,417","0.00**","--","--"
"","5 to 9","Utah","2018","--","260,083","0.00**","--","--"
"","5 to 9","Vermont","2023","--","31,648","0.00**","--","--"
"","5 to 9","Vermont","2022","--","32,015","0.00**","--","--"
"","5 to 9","Vermont","2021","--","32,250","0.00**","--","--"
"","5 to 9","Vermont","2020","--","32,230","0.00**","--","--"
"","5 to 9","Vermont","2019","--","31,282","0.00**","--","--"
"","5 to 9","Vermont","2018","--","31,321","0.00**","--","--"
"","5 to 9","Washington","2022","--","468,944","0.00**","--","--"
"","5 to 9","Washington","2019","--","469,438","0.00**","--","--"
"","5 to 9","Washington","2018","--","467,319","0.00**","--","--"
"","5 to 9","West Virginia","2023","--","96,085","0.00**","--","--"
"","5 to 9","West Virginia","2022","--","97,706","0.00**","--","--"
"","5 to 9","West Virginia","2021","--","99,111","0.00**","--","--"
"","5 to 9","West Virginia","2019","--","100,557","0.00**","--","--"
"","5 to 9","Wisconsin","2023","--","342,533","0.00**","--","--"
"","5 to 9","Wisconsin","2020","--","348,334","0.00**","--","--"
"","5 to 9","Wyoming","2023","--","35,635","0.00**","--","--"
"","5 to 9","Wyoming","2022","--","36,233","0.00**","--","--"
"","5 to 9","Wyoming","2021","--","36,513","0.00**","--","--"
"","5 to 9","Wyoming","2020","--","36,755","0.00**","--","--"
"","5 to 9","Wyoming","2019","--","37,314","0.00**","--","--"
"","5 to 9","Wyoming","2018","--","37,874","0.00**","--","--"
"","10 to 14","Alaska","2021","--","50,864","0.00**","--","--"
"","10 to 14","Connecticut","2022","--","212,744","0.00**","--","--"
"","10 to 14","Connecticut","2019","--","214,292","0.00**","--","--"
"","10 to 14","Delaware","2023","--","60,700","0.00**","--","--"
"","10 to 14","Delaware","2019","--","57,883","0.00**","--","--"
"","10 to 14","District of Columbia","2021","--","31,362","0.00**","--","--"
"","10 to 14","Hawaii","2023","--","83,620","0.00**","--","--"
"","10 to 14","Hawaii","2021","--","84,121","0.00**","--","--"
"","10 to 14","Hawaii","2019","--","79,252","0.00**","--","--"
"","10 to 14","Hawaii","2018","--","80,686","0.00**","--","--"
"","10 to 14","Maine","2020","--","75,511","0.00**","--","--"
"","10 to 14","Maine","2019","--","72,705","0.00**","--","--"
"","10 to 14","Maine","2018","--","73,296","0.00**","--","--"
"","10 to 14","Massachusetts","2020","--","402,945","0.00**","--","--"
"","10 to 14","Massachusetts","2018","--","388,988","0.00**","--","--"
"","10 to 14","Minnesota","2020","--","387,325","0.00**","--","--"
"","10 to 14","Nebraska","2018","--","133,746","0.00**","--","--"
"","10 to 14","New Hampshire","2022","--","74,736","0.00**","--","--"
"","10 to 14","New Hampshire","2019","--","74,828","0.00**","--","--"
"","10 to 14","New Jersey","2020","--","596,918","0.00**","--","--"
"","10 to 14","North Dakota","2022","--","51,061","0.00**","--","--"
"","10 to 14","Rhode Island","2023","--","57,396","0.00**","--","--"
"","10 to 14","Rhode Island","2022","--","58,366","0.00**","--","--"
"","10 to 14","Rhode Island","2021","--","59,698","0.00**","--","--"
"","10 to 14","Rhode Island","2020","--","61,069","0.00**","--","--"
"","10 to 14","Rhode Island","2019","--","57,725","0.00**","--","--"
"","10 to 14","Rhode Island","2018","--","58,934","0.00**","--","--"
"","10 to 14","South Dakota","2021","--","63,096","0.00**","--","--"
"","10 to 14","South Dakota","2020","--","63,103","0.00**","--","--"
"","10 to 14","South Dakota","2019","--","60,979","0.00**","--","--"
"","10 to 14","Vermont","2019","--","33,291","0.00**","--","--"
"","10 to 14","Vermont","2018","--","33,786","0.00**","--","--"
"","10 to 14","Wyoming","2023","--","38,215","0.00**","--","--"
"","10 to 14","Wyoming","2018","--","39,145","0.00**","--","--"
"","15 to 19","Hawaii","2020","--","77,144","0.00**","--","--"
"","20 to 24","Hawaii","2018","--","90,959","0.00**","--","--"
"","60 to 64","Hawaii","2019","--","89,231","0.00**","--","--"
"","65 to 69","Hawaii","2019","--","82,970","0.00**","--","--"
"","70 to 74","District of Columbia","2022","--","22,720","0.00**","--","--"
"","70 to 74","District of Columbia","2021","--","22,747","0.00**","--","--"
"","70 to 74","District of Columbia","2018","--","21,225","0.00**","--","--"
