"Notes","State of Residence","State of Residence Code","OE Gestational Age Recode 10","OE Gestational Age Recode 10 Code",Births
,"District of Columbia","11","20 - 27 weeks","02",88
,"District of Columbia","11","28 - 31 weeks","03",123
,"District of Columbia","11","32 - 35 weeks","04",457
,"District of Columbia","11","36 weeks","05",346
,"District of Columbia","11","37 - 39 weeks","06",5300
,"District of Columbia","11","40 weeks","07",2310
,"District of Columbia","11","41 weeks","08",880
,"District of Columbia","11","42 weeks or more","09",52
,"District of Columbia","11","Unknown or Not Stated","10",Suppressed
,"Florida","12","Under 20 weeks","01",69
,"Florida","12","20 - 27 weeks","02",1566
,"Florida","12","28 - 31 weeks","03",2291
,"Florida","12","32 - 35 weeks","04",10127
,"Florida","12","36 weeks","05",8798
,"Florida","12","37 - 39 weeks","06",145979
,"Florida","12","40 weeks","07",43019
,"Florida","12","41 weeks","08",11206
,"Florida","12","42 weeks or more","09",456
,"Florida","12","Unknown or Not Stated","10",119
,"Georgia","13","Under 20 weeks","01",58
,"Georgia","13","20 - 27 weeks","02",1112
,"Georgia","13","28 - 31 weeks","03",1463
,"Georgia","13","32 - 35 weeks","04",6387
,"Georgia","13","36 weeks","05",5736
,"Georgia","13","37 - 39 weeks","06",84819
,"Georgia","13","40 weeks","07",23780
,"Georgia","13","41 weeks","08",5571
,"Georgia","13","42 weeks or more","09",258
,"Georgia","13","Unknown or Not Stated","10",59
,"Hawaii","15","Under 20 weeks","01",Suppressed
,"Hawaii","15","20 - 27 weeks","02",105
,"Hawaii","15","28 - 31 weeks","03",154
,"Hawaii","15","32 - 35 weeks","04",838
,"Hawaii","15","36 weeks","05",726
,"Hawaii","15","37 - 39 weeks","06",10841
,"Hawaii","15","40 weeks","07",3643
,"Hawaii","15","41 weeks","08",1130
,"Hawaii","15","42 weeks or more","09",65
,"Hawaii","15","Unknown or Not Stated","10",Suppressed
,"Idaho","16","Under 20 weeks","01",Suppressed
,"Idaho","16","20 - 27 weeks","02",111
,"Idaho","16","28 - 31 weeks","03",160
,"Idaho","16","32 - 35 weeks","04",847
,"Idaho","16","36 weeks","05",819
,"Idaho","16","37 - 39 weeks","06",13842
,"Idaho","16","40 weeks","07",4823
,"Idaho","16","41 weeks","08",1486
,"Idaho","16","42 weeks or more","09",79
,"Idaho","16","Unknown or Not Stated","10",10
,"Illinois","17","Under 20 weeks","01",90
,"Illinois","17","20 - 27 weeks","02",978
,"Illinois","17","28 - 31 weeks","03",1408
,"Illinois","17","32 - 35 weeks","04",6995
,"Illinois","17","36 weeks","05",6080
,"Illinois","17","37 - 39 weeks","06",96191
,"Illinois","17","40 weeks","07",29496
,"Illinois","17","41 weeks","08",7796
,"Illinois","17","42 weeks or more","09",278
,"Illinois","17","Unknown or Not Stated","10",78
,"Indiana","18","Under 20 weeks","01",35
,"Indiana","18","20 - 27 weeks","02",504
,"Indiana","18","28 - 31 weeks","03",746
,"Indiana","18","32 - 35 weeks","04",3555
,"Indiana","18","36 weeks","05",3247
,"Indiana","18","37 - 39 weeks","06",51863
,"Indiana","18","40 weeks","07",16929
,"Indiana","18","41 weeks","08",4788
,"Indiana","18","42 weeks or more","09",483
,"Indiana","18","Unknown or Not Stated","10",20
,"Iowa","19","Under 20 weeks","01",Suppressed
,"Iowa","19","20 - 27 weeks","02",213
,"Iowa","19","28 - 31 weeks","03",269
,"Iowa","19","32 - 35 weeks","04",1575
,"Iowa","19","36 weeks","05",1462
,"Iowa","19","37 - 39 weeks","06",24615
,"Iowa","19","40 weeks","07",8002
,"Iowa","19","41 weeks","08",2202
,"Iowa","19","42 weeks or more","09",78
,"Iowa","19","Unknown or Not Stated","10",Suppressed
,"Kansas","20","Under 20 weeks","01",23
,"Kansas","20","20 - 27 weeks","02",227
,"Kansas","20","28 - 31 weeks","03",333
,"Kansas","20","32 - 35 weeks","04",1499
,"Kansas","20","36 weeks","05",1413
,"Kansas","20","37 - 39 weeks","06",23793
,"Kansas","20","40 weeks","07",7516
,"Kansas","20","41 weeks","08",1606
,"Kansas","20","42 weeks or more","09",94
,"Kansas","20","Unknown or Not Stated","10",15
,"Kentucky","21","Under 20 weeks","01",13
,"Kentucky","21","20 - 27 weeks","02",368
,"Kentucky","21","28 - 31 weeks","03",560
,"Kentucky","21","32 - 35 weeks","04",2651
,"Kentucky","21","36 weeks","05",2500
,"Kentucky","21","37 - 39 weeks","06",37581
,"Kentucky","21","40 weeks","07",8891
,"Kentucky","21","41 weeks","08",2028
,"Kentucky","21","42 weeks or more","09",141
,"Kentucky","21","Unknown or Not Stated","10",19
,"Louisiana","22","Under 20 weeks","01",22
,"Louisiana","22","20 - 27 weeks","02",526
,"Louisiana","22","28 - 31 weeks","03",732
,"Louisiana","22","32 - 35 weeks","04",3422
,"Louisiana","22","36 weeks","05",3023
,"Louisiana","22","37 - 39 weeks","06",43295
,"Louisiana","22","40 weeks","07",8514
,"Louisiana","22","41 weeks","08",1417
,"Louisiana","22","42 weeks or more","09",49
,"Louisiana","22","Unknown or Not Stated","10",18
,"Maine","23","Under 20 weeks","01",Suppressed
,"Maine","23","20 - 27 weeks","02",60
,"Maine","23","28 - 31 weeks","03",100
,"Maine","23","32 - 35 weeks","04",464
,"Maine","23","36 weeks","05",438
,"Maine","23","37 - 39 weeks","06",7023
,"Maine","23","40 weeks","07",2814
,"Maine","23","41 weeks","08",1264
,"Maine","23","42 weeks or more","09",125
,"Maine","23","Unknown or Not Stated","10",Suppressed
,"Maryland","24","Under 20 weeks","01",50
,"Maryland","24","20 - 27 weeks","02",581
,"Maryland","24","28 - 31 weeks","03",767
,"Maryland","24","32 - 35 weeks","04",3213
,"Maryland","24","36 weeks","05",2880
,"Maryland","24","37 - 39 weeks","06",43661
,"Maryland","24","40 weeks","07",14924
,"Maryland","24","41 weeks","08",5335
,"Maryland","24","42 weeks or more","09",181
,"Maryland","24","Unknown or Not Stated","10",49
,"Massachusetts","25","Under 20 weeks","01",Suppressed
,"Massachusetts","25","20 - 27 weeks","02",330
,"Massachusetts","25","28 - 31 weeks","03",547
,"Massachusetts","25","32 - 35 weeks","04",2763
,"Massachusetts","25","36 weeks","05",2623
,"Massachusetts","25","37 - 39 weeks","06",40199
,"Massachusetts","25","40 weeks","07",16554
,"Massachusetts","25","41 weeks","08",7338
,"Massachusetts","25","42 weeks or more","09",283
,"Massachusetts","25","Unknown or Not Stated","10",56
,"Michigan","26","Under 20 weeks","01",65
,"Michigan","26","20 - 27 weeks","02",798
,"Michigan","26","28 - 31 weeks","03",1040
,"Michigan","26","32 - 35 weeks","04",5110
,"Michigan","26","36 weeks","05",4393
