"Intent or Manner","Age Group","State","Race","Death Count","Population","Crude Rate"
"Suicide","10 to 14","Arkansas","Black","--","35,517","--"
"Suicide","10 to 14","California","White","17**","1,102,895","1.54"
"Suicide","10 to 14","California","Black","--","96,818","--"
"Suicide","10 to 14","Colorado","White","15**","291,916","5.14"
"Suicide","10 to 14","Colorado","Black","--","18,698","--"
"Suicide","10 to 14","Connecticut","White","--","154,152","--"
"Suicide","10 to 14","Connecticut","Black","--","33,262","--"
"Suicide","10 to 14","Delaware","White","--","35,578","--"
"Suicide","10 to 14","Delaware","Black","--","17,464","--"
"Suicide","10 to 14","District of Columbia","White","--","10,030","--"
"Suicide","10 to 14","District of Columbia","Black","--","19,064","--"
"Suicide","10 to 14","Florida","White","10**","595,866","1.68"
"Suicide","10 to 14","Florida","Black","--","199,412","--"
"Suicide","10 to 14","Georgia","White","10**","395,408","2.53"
"Suicide","10 to 14","Georgia","Black","--","263,115","--"
"Suicide","10 to 14","Hawaii","White","--","14,561","--"
"Suicide","10 to 14","Hawaii","Black","--","1,541","--"
"Suicide","10 to 14","Idaho","White","--","124,404","--"
"Suicide","10 to 14","Idaho","Black","--","1,458","--"
"Suicide","10 to 14","Illinois","White","--","577,295","--"
"Suicide","10 to 14","Illinois","Black","--","126,689","--"
"Suicide","10 to 14","Indiana","White","13**","357,385","3.64"
"Suicide","10 to 14","Indiana","Black","--","54,651","--"
"Suicide","10 to 14","Iowa","White","--","177,987","--"
"Suicide","10 to 14","Iowa","Black","--","12,077","--"
"Suicide","10 to 14","Kansas","White","--","165,715","--"
"Suicide","10 to 14","Kansas","Black","--","13,457","--"
"Suicide","10 to 14","Kentucky","White","--","237,204","--"
"Suicide","10 to 14","Kentucky","Black","--","28,434","--"
"Suicide","10 to 14","Louisiana","White","--","169,790","--"
"Suicide","10 to 14","Louisiana","Black","--","111,703","--"
"Suicide","10 to 14","Maine","White","--","64,831","--"
"Suicide","10 to 14","Maine","Black","--","2,340","--"
"Suicide","10 to 14","Maryland","White","--","202,753","--"
"Suicide","10 to 14","Maryland","Black","--","128,496","--"
"Suicide","10 to 14","Massachusetts","White","--","283,173","--"
"Suicide","10 to 14","Massachusetts","Black","--","46,221","--"
"Suicide","10 to 14","Michigan","White","--","444,727","--"
"Suicide","10 to 14","Michigan","Black","--","100,325","--"
"Suicide","10 to 14","Minnesota","White","--","276,061","--"
"Suicide","10 to 14","Minnesota","Black","--","41,186","--"
"Suicide","10 to 14","Mississippi","White","--","105,118","--"
"Suicide","10 to 14","Mississippi","Black","--","82,120","--"
"Suicide","10 to 14","Missouri","White","--","305,546","--"
"Suicide","10 to 14","Missouri","Black","--","53,259","--"
"Suicide","10 to 14","Montana","White","--","56,230","--"
"Suicide","10 to 14","Montana","Black","--","438","--"
"Suicide","10 to 14","Nebraska","White","--","112,646","--"
"Suicide","10 to 14","Nebraska","Black","--","8,930","--"
"Suicide","10 to 14","Nevada","White","--","136,547","--"
"Suicide","10 to 14","Nevada","Black","--","25,485","--"
"Suicide","10 to 14","New Hampshire","White","--","65,676","--"
"Suicide","10 to 14","New Hampshire","Black","--","2,061","--"
"Suicide","10 to 14","New Jersey","White","--","381,256","--"
"Suicide","10 to 14","New Jersey","Black","--","98,265","--"
"Suicide","10 to 14","New Mexico","White","--","104,490","--"
"Suicide","10 to 14","New Mexico","Black","--","4,199","--"
"Suicide","10 to 14","New York","White","--","736,068","--"
"Suicide","10 to 14","New York","Black","--","218,205","--"
"Suicide","10 to 14","North Carolina","White","14**","423,841","3.30"
"Suicide","10 to 14","North Carolina","Black","--","160,799","--"
"Suicide","10 to 14","North Dakota","White","--","40,919","--"
"Suicide","10 to 14","North Dakota","Black","--","2,253","--"
"Suicide","10 to 14","Ohio","White","16**","549,428","2.91"
"Suicide","10 to 14","Ohio","Black","--","118,355","--"
"Suicide","10 to 14","Oklahoma","White","--","180,955","--"
"Suicide","10 to 14","Oklahoma","Black","--","22,855","--"
"Suicide","10 to 14","Oregon","White","--","202,209","--"
"Suicide","10 to 14","Oregon","Black","--","6,843","--"
"Suicide","10 to 14","Pennsylvania","White","11**","560,126","1.96"
"Suicide","10 to 14","Pennsylvania","Black","--","117,603","--"
"Suicide","10 to 14","Rhode Island","White","--","43,330","--"
"Suicide","10 to 14","Rhode Island","Black","--","6,969","--"
"Suicide","10 to 14","South Carolina","White","--","203,026","--"
"Suicide","10 to 14","South Carolina","Black","--","97,936","--"
"Suicide","10 to 14","South Dakota","White","--","47,707","--"
"Suicide","10 to 14","South Dakota","Black","--","2,201","--"
"Suicide","10 to 14","Tennessee","White","11**","321,100","3.43"
"Suicide","10 to 14","Tennessee","Black","--","84,442","--"
"Suicide","10 to 14","Texas","White","18**","953,731","1.89"
"Suicide","10 to 14","Texas","Black","--","225,425","--"
"Suicide","10 to 14","Utah","White","14**","242,316","5.78"
"Suicide","10 to 14","Utah","Black","--","4,801","--"
"Suicide","10 to 14","Vermont","White","--","30,733","--"
"Suicide","10 to 14","Vermont","Black","--","679","--"
"Suicide","10 to 14","Virginia","White","11**","339,961","3.24"
"Suicide","10 to 14","Virginia","Black","--","112,671","--"
"Suicide","10 to 14","Washington","White","12**","341,099","3.52"
"Suicide","10 to 14","Washington","Black","--","24,373","--"
"Suicide","10 to 14","West Virginia","White","--","93,037","--"
"Suicide","10 to 14","West Virginia","Black","--","3,952","--"
"Suicide","10 to 14","Wisconsin","White","--","290,509","--"
"Suicide","10 to 14","Wisconsin","Black","--","33,235","--"
"Suicide","10 to 14","Wyoming","White","--","34,722","--"
"Suicide","10 to 14","Wyoming","Black","--","464","--"
"Suicide","15 to 19","Alabama","White","18**","216,880","8.30"
"Suicide","15 to 19","Alabama","Black","--","99,145","--"
"Suicide","15 to 19","Alaska","White","--","24,423","--"
"Suicide","15 to 19","Alaska","Black","--","1,548","--"
"Suicide","15 to 19","Arizona","White","52","380,121","13.68"
"Suicide","15 to 19","Arizona","Black","--","30,510","--"
"Suicide","15 to 19","Arkansas","White","12**","152,386","7.87"
"Suicide","15 to 19","Arkansas","Black","--","35,974","--"
"Suicide","15 to 19","California","White","52","1,167,778","4.45"
"Suicide","15 to 19","California","Black","--","101,244","--"
"Suicide","15 to 19","Colorado","White","43","312,753","13.75"
"Suicide","15 to 19","Colorado","Black","--","18,404","--"
"Suicide","15 to 19","Connecticut","White","11**","184,851","5.95"
"Suicide","15 to 19","Connecticut","Black","--","35,466","--"
"Suicide","15 to 19","Delaware","White","--","38,858","--"
"Suicide","15 to 19","Delaware","Black","--","17,584","--"
"Suicide","15 to 19","District of Columbia","White","--","14,978","--"
"Suicide","15 to 19","District of Columbia","Black","--","18,189","--"
"Suicide","15 to 19","Florida","White","56","637,159","8.79"
"Suicide","15 to 19","Florida","Black","14**","192,189","7.28"
"Suicide","15 to 19","Georgia","White","40","421,291","9.49"
"Suicide","15 to 19","Georgia","Black","24","264,705","9.07"
"Suicide","15 to 19","Hawaii","White","--","13,445","--"
"Suicide","15 to 19","Hawaii","Black","--","1,578","--"
"Suicide","15 to 19","Idaho","White","19**","134,012","14.18"
"Suicide","15 to 19","Idaho","Black","--","1,700","--"
"Suicide","15 to 19","Illinois","White","52","607,968","8.55"
"Suicide","15 to 19","Illinois","Black","13**","127,679","10.18"
"Suicide","15 to 19","Indiana","White","31","373,693","8.30"
"Suicide","15 to 19","Indiana","Black","--","53,292","--"
"Suicide","15 to 19","Iowa","White","25","192,204","13.01"
"Suicide","15 to 19","Iowa","Black","--","12,139","--"
"Suicide","15 to 19","Kansas","White","26","170,880","15.22"
"Suicide","15 to 19","Kansas","Black","--","14,109","--"
"Suicide","15 to 19","Kentucky","White","26","239,149","10.87"
"Suicide","15 to 19","Kentucky","Black","--","29,147","--"
"Suicide","15 to 19","Louisiana","White","18**","170,127","10.58"
"Suicide","15 to 19","Louisiana","Black","--","113,544","--"
"Suicide","15 to 19","Maine","White","--","70,821","--"
"Suicide","15 to 19","Maine","Black","--","2,548","--"
"Suicide","15 to 19","Maryland","White","14**","210,916","6.64"
"Suicide","15 to 19","Maryland","Black","13**","125,876","10.33"
"Suicide","15 to 19","Massachusetts","White","21","341,219","6.15"
"Suicide","15 to 19","Massachusetts","Black","--","48,115","--"
"Suicide","15 to 19","Michigan","White","49","478,165","10.25"
"Suicide","15 to 19","Michigan","Black","10**","97,777","10.23"
"Suicide","15 to 19","Minnesota","White","37","286,376","12.92"
"Suicide","15 to 19","Minnesota","Black","--","37,473","--"
"Suicide","15 to 19","Mississippi","White","11**","110,623","9.94"
"Suicide","15 to 19","Mississippi","Black","--","87,150","--"
"Suicide","15 to 19","Missouri","White","41","315,503","13.00"
"Suicide","15 to 19","Missouri","Black","--","53,308","--"
"Suicide","15 to 19","Montana","White","21","57,187","36.72"
"Suicide","15 to 19","Montana","Black","--","548","--"
"Suicide","15 to 19","Nebraska","White","23","116,148","19.80"
"Suicide","15 to 19","Nebraska","Black","--","8,503","--"
"Suicide","15 to 19","Nevada","White","16**","134,472","11.90"
"Suicide","15 to 19","Nevada","Black","--","22,771","--"
"Suicide","15 to 19","New Hampshire","White","--","73,107","--"
"Suicide","15 to 19","New Hampshire","Black","--","2,208","--"
"Suicide","15 to 19","New Jersey","White","18**","397,153","4.53"
"Suicide","15 to 19","New Jersey","Black","--","94,125","--"
"Suicide","15 to 19","New Mexico","White","14**","111,651","12.54"
"Suicide","15 to 19","New Mexico","Black","--","4,512","--"
"Suicide","15 to 19","New York","White","39","803,732","4.85"
"Suicide","15 to 19","New York","Black","--","220,809","--"
"Suicide","15 to 19","North Carolina","White","41","465,152","8.81"
"Suicide","15 to 19","North Carolina","Black","18**","170,592","10.55"
"Suicide","15 to 19","North Dakota","White","--","45,303","--"
"Suicide","15 to 19","North Dakota","Black","--","1,865","--"
"Suicide","15 to 19","Ohio","White","50","576,605","8.67"
"Suicide","15 to 19","Ohio","Black","24","112,976","21.24"
"Suicide","15 to 19","Oklahoma","White","16**","186,174","8.59"
"Suicide","15 to 19","Oklahoma","Black","--","24,525","--"
"Suicide","15 to 19","Oregon","White","26","206,630","12.58"
"Suicide","15 to 19","Oregon","Black","--","6,747","--"
"Suicide","15 to 19","Pennsylvania","White","50","636,865","7.85"
"Suicide","15 to 19","Pennsylvania","Black","--","118,367","--"
"Suicide","15 to 19","Rhode Island","White","--","56,302","--"
"Suicide","15 to 19","Rhode Island","Black","--","7,483","--"
"Suicide","15 to 19","South Carolina","White","23","218,694","10.52"
"Suicide","15 to 19","South Carolina","Black","10**","101,172","9.88"
