Session Title,Firearm injury in ED by state and BRFSS Age,,,,
Session ID,2770964,,,,
Data Model,ED Encounters,,,,
Population Base,All ED Encounters,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,
Session Date Range,1/1/2023 - 12/31/2023 (Based On Arrival Date),,,,
Measure,Number of ED Encounters,,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,10/29/2025,,,,
,,,,,
,,,,,
,,,ED Diagnoses,Firearm Injury,None of the above
Year,Month,State of Residence (U.S.),Age at Time of Visit,,
,,,Total,12,19531
,,Hawaii,Less than 18 Years,10 or fewer,4517
,,,≥ 18 and < 25 Years,10 or fewer,1597
,,,≥ 25 and < 35 Years,10 or fewer,2591
,,,≥ 35 and < 45 Years,10 or fewer,2543
,,,≥ 45 and < 55 Years,10 or fewer,2668
,,,≥ 55 and < 65 Years,10 or fewer,2996
,,,65 Years or more,10 or fewer,6329
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,23241
,,Kansas,Less than 18 Years,10 or fewer,2283
,,,≥ 18 and < 25 Years,10 or fewer,1536
,,,≥ 25 and < 35 Years,10 or fewer,2196
,,,≥ 35 and < 45 Years,10 or fewer,2267
,,,≥ 45 and < 55 Years,10 or fewer,2018
,,,≥ 55 and < 65 Years,10 or fewer,2063
,,,65 Years or more,10 or fewer,4607
,,,No value,10 or fewer,10 or fewer
,,,Total,11,16970
,,Maine,Less than 18 Years,10 or fewer,2545
,,,≥ 18 and < 25 Years,10 or fewer,1572
,,,≥ 25 and < 35 Years,10 or fewer,2617
,,,≥ 35 and < 45 Years,10 or fewer,2610
,,,≥ 45 and < 55 Years,10 or fewer,2431
,,,≥ 55 and < 65 Years,10 or fewer,3010
,,,65 Years or more,10 or fewer,7076
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,21861
,,Nebraska,Less than 18 Years,10 or fewer,2761
,,,≥ 18 and < 25 Years,10 or fewer,2006
,,,≥ 25 and < 35 Years,10 or fewer,3054
,,,≥ 35 and < 45 Years,10 or fewer,2809
,,,≥ 45 and < 55 Years,10 or fewer,2290
,,,≥ 55 and < 65 Years,10 or fewer,2437
,,,65 Years or more,10 or fewer,4804
,,,No value,10 or fewer,10 or fewer
,,,Total,11,20161
,,Nevada,Less than 18 Years,10 or fewer,3715
,,,≥ 18 and < 25 Years,10 or fewer,1559
,,,≥ 25 and < 35 Years,10 or fewer,2691
,,,≥ 35 and < 45 Years,10 or fewer,2489
,,,≥ 45 and < 55 Years,10 or fewer,2446
,,,≥ 55 and < 65 Years,10 or fewer,2377
,,,65 Years or more,10 or fewer,3598
,,,No value,10 or fewer,10 or fewer
,,,Total,12,18875
,,Rhode Island,Less than 18 Years,10 or fewer,3915
,,,≥ 18 and < 25 Years,10 or fewer,1086
,,,≥ 25 and < 35 Years,10 or fewer,1936
,,,≥ 35 and < 45 Years,10 or fewer,1811
,,,≥ 45 and < 55 Years,10 or fewer,1669
,,,≥ 55 and < 65 Years,10 or fewer,2237
,,,65 Years or more,10 or fewer,4692
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,17346
,,Alabama,Less than 18 Years,10 or fewer,2199
,,,≥ 18 and < 25 Years,10 or fewer,1424
,,,≥ 25 and < 35 Years,10 or fewer,2401
,,,≥ 35 and < 45 Years,10 or fewer,2471
,,,≥ 45 and < 55 Years,10 or fewer,2367
,,,≥ 55 and < 65 Years,10 or fewer,2473
,,,65 Years or more,10 or fewer,4544
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,17879
,,Delaware,Less than 18 Years,10 or fewer,4719
,,,≥ 18 and < 25 Years,10 or fewer,1413
,,,≥ 25 and < 35 Years,10 or fewer,2021
,,,≥ 35 and < 45 Years,10 or fewer,1900
,,,≥ 45 and < 55 Years,10 or fewer,1606
,,,≥ 55 and < 65 Years,10 or fewer,1789
,,,65 Years or more,10 or fewer,3466
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,16916
,,North Dakota,Less than 18 Years,10 or fewer,1969
,,,≥ 18 and < 25 Years,10 or fewer,1182
,,,≥ 25 and < 35 Years,10 or fewer,1874
,,,≥ 35 and < 45 Years,10 or fewer,1729
,,,≥ 45 and < 55 Years,10 or fewer,1427
,,,≥ 55 and < 65 Years,10 or fewer,1500
,,,65 Years or more,10 or fewer,2877
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,12558
,,Vermont,Less than 18 Years,10 or fewer,1140
,,,≥ 18 and < 25 Years,10 or fewer,723
,,,≥ 25 and < 35 Years,10 or fewer,1167
,,,≥ 35 and < 45 Years,10 or fewer,1167
,,,≥ 45 and < 55 Years,10 or fewer,959
,,,≥ 55 and < 65 Years,10 or fewer,1307
,,,65 Years or more,10 or fewer,2894
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,9357
,,New Hampshire,Less than 18 Years,10 or fewer,885
