Session Title,"Base Patients, % with HbA1c 6.5+, % with BMI 30+, by state and BRFSS age",,,
Session ID,2748555,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Base Patient,,,
Session Date Range,1/1/2023 - 7/17/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,8/11/2025,,,
,,,,
,,,,
,Measures,Number of Patients,Percentage with Base Patient followed by Hemoglobin A1C 6.5% or more within 10 years (%),Percentage with Base Patient followed by BMI 30.0  or more within 10 years (%)
State of Residence (U.S.),Age in Years (Current),,,
,≥ 55 and < 65,162858,13.4%,52.9%
,65 or more,324968,16.3%,46.7%
,No value,10 or fewer,-,-
,Total,1218205,8%,40.1%
West Virginia,Less than 18,206519,0.357%,7.8%
,≥ 18 and < 25,85626,1.1%,33.6%
,≥ 25 and < 35,120361,2%,50.4%
,≥ 35 and < 45,123005,4.6%,55.4%
,≥ 45 and < 55,135232,10.2%,59.8%
,≥ 55 and < 65,155266,15.3%,58.8%
,65 or more,308331,18.2%,49.6%
,No value,10 or fewer,-,-
,Total,1134345,9.1%,44%
Idaho,Less than 18,214358,0.391%,4.7%
,≥ 18 and < 25,92824,1%,22.8%
,≥ 25 and < 35,129350,1.8%,38.8%
,≥ 35 and < 45,131647,3.7%,44%
,≥ 45 and < 55,125570,7.9%,47.7%
,≥ 55 and < 65,127498,12.3%,48%
,65 or more,254023,16.6%,45.8%
,No value,10 or fewer,-,-
,Total,1075274,7.1%,35.1%
Kansas,Less than 18,139300,0.235%,5.7%
,≥ 18 and < 25,81818,0.847%,25.1%
,≥ 25 and < 35,124476,1.7%,40.2%
,≥ 35 and < 45,132485,3.8%,45.9%
,≥ 45 and < 55,123327,8%,50.2%
,≥ 55 and < 65,136950,12.7%,51.4%
,65 or more,283561,15.9%,47.1%
,No value,15,-,-
,Total,1021932,7.9%,39.6%
Nebraska,Less than 18,118327,0.162%,5.4%
,≥ 18 and < 25,79590,0.957%,25.1%
,≥ 25 and < 35,113980,2.1%,43.8%
,≥ 35 and < 45,113919,4%,49.9%
,≥ 45 and < 55,102163,8.6%,53.5%
,≥ 55 and < 65,113265,12.7%,53.4%
,65 or more,250988,14.6%,47.7%
,No value,10 or fewer,-,-
,Total,892237,7.6%,41.3%
Maine,Less than 18,127191,0.384%,5.5%
,≥ 18 and < 25,57202,1.1%,22.4%
,≥ 25 and < 35,88229,1.7%,36%
,≥ 35 and < 45,101501,3.5%,42%
,≥ 45 and < 55,95561,7.7%,46.8%
,≥ 55 and < 65,124524,11.8%,47.4%
,65 or more,273377,15.4%,42.1%
,No value,11,-,-
,Total,867596,8.1%,36.1%
Hawaii,Less than 18,145862,0.257%,4%
,≥ 18 and < 25,64817,0.699%,17.5%
,≥ 25 and < 35,96023,1.6%,31.9%
,≥ 35 and < 45,104398,3.6%,36.2%
,≥ 45 and < 55,101824,7.2%,35.6%
,≥ 55 and < 65,113285,10.8%,33.8%
,65 or more,229821,13.3%,26.5%
,No value,10 or fewer,-,-
,Total,856031,6.6%,25.8%
Utah,Less than 18,192736,0.052%,2%
,≥ 18 and < 25,81983,0.623%,14.2%
,≥ 25 and < 35,122393,1.4%,27.2%
,≥ 35 and < 45,111478,2.9%,34.3%
,≥ 45 and < 55,95394,5.8%,38%
,≥ 55 and < 65,81278,8.9%,38.5%
,65 or more,146120,10.1%,35%
,No value,10 or fewer,-,-
,Total,831382,4%,24.7%
Alabama,Less than 18,76729,0.231%,6.6%
,≥ 18 and < 25,43756,1.2%,29.3%
,≥ 25 and < 35,72168,2.2%,44.9%
,≥ 35 and < 45,80770,4.7%,49.6%
,≥ 45 and < 55,92520,9.2%,53.3%
