,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,45.5%,44
,,,≥ 50 and < 65,-,40.7%,27
,,,65 or more,-,64.2%,53
,,,No value,-,-,10 or fewer
,,,Total,-,51.1%,139
,,Michigan,Less than 1,11.2%,48.6%,214
,,,≥ 1 and < 5,5.5%,45.7%,451
,,,≥ 5 and < 18,-,27.2%,471
,,,≥ 18 and < 50,-,27%,1546
,,,≥ 50 and < 65,1.4%,36.8%,771
,,,65 or more,2.1%,43.4%,1411
,,,No value,-,-,10 or fewer
,,,Total,2.1%,36%,4864
,,Mississippi,Less than 1,-,60%,135
,,,≥ 1 and < 5,-,40.3%,278
,,,≥ 5 and < 18,-,19%,200
,,,≥ 18 and < 50,-,19.4%,725
,,,≥ 50 and < 65,-,20.7%,314
,,,65 or more,-,23.3%,511
,,,No value,-,-,10 or fewer
,,,Total,0.925%,25.7%,2163
,,Virginia,Less than 1,8.5%,46.8%,235
,,,≥ 1 and < 5,3.1%,40.3%,417
,,,≥ 5 and < 18,-,30.3%,561
,,,≥ 18 and < 50,-,20%,2020
,,,≥ 50 and < 65,1.5%,27.5%,1011
,,,65 or more,2%,34.3%,1616
,,,No value,-,-,10 or fewer
,,,Total,1.6%,28.7%,5860
,,Massachusetts,Less than 1,-,44.2%,129
,,,≥ 1 and < 5,-,43.6%,243
,,,≥ 5 and < 18,-,43.1%,269
,,,≥ 18 and < 50,-,33.4%,794
,,,≥ 50 and < 65,-,36.5%,395
,,,65 or more,-,41.5%,750
,,,No value,-,-,10 or fewer
,,,Total,0.891%,38.7%,2580
,,Armed Forces Pacific,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,-,10 or fewer
,,,≥ 50 and < 65,-,-,10 or fewer
,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,10 or fewer
,,New Mexico,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,18
,,,≥ 5 and < 18,-,-,27
,,,≥ 18 and < 50,-,-,136
,,,≥ 50 and < 65,-,-,48
,,,65 or more,-,-,81
,,,No value,-,-,10 or fewer
,,,Total,-,11.1%,316
,,District of Columbia,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,60%,25
,,,≥ 50 and < 65,-,-,10 or fewer
,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,48.9%,47
,,Maine,Less than 1,-,37.1%,35
,,,≥ 1 and < 5,-,33.3%,51
,,,≥ 5 and < 18,-,-,50
,,,≥ 18 and < 50,-,10.4%,201
,,,≥ 50 and < 65,-,15.3%,124
,,,65 or more,-,20.7%,280
,,,No value,-,-,10 or fewer
,,,Total,1.8%,17.8%,741
,,New Hampshire,Less than 1,-,-,16
,,,≥ 1 and < 5,-,-,21
,,,≥ 5 and < 18,-,-,18
,,,≥ 18 and < 50,-,47.6%,63
,,,≥ 50 and < 65,-,56.1%,41
,,,65 or more,-,52.9%,104
,,,No value,-,-,10 or fewer
,,,Total,-,49%,263
,,Hawaii,Less than 1,-,41%,78
,,,≥ 1 and < 5,-,18.8%,128
,,,≥ 5 and < 18,-,10%,120
,,,≥ 18 and < 50,-,6.5%,231
,,,≥ 50 and < 65,-,13.7%,117
,,,65 or more,-,15.9%,182
,,,No value,-,-,10 or fewer
,,,Total,1.3%,15%,856
,,Kansas,Less than 1,-,-,13
,,,≥ 1 and < 5,-,39.5%,38
,,,≥ 5 and < 18,-,-,38
,,,≥ 18 and < 50,-,22.6%,168
,,,≥ 50 and < 65,-,43.2%,81
,,,65 or more,-,47.1%,155
,,,No value,-,-,10 or fewer
,,,Total,-,34.9%,493
,,None of the above,Less than 1,7.7%,31.5%,677
,,,≥ 1 and < 5,2.3%,22.8%,1378
,,,≥ 5 and < 18,-,15.9%,1770
,,,≥ 18 and < 50,0.312%,17%,5133
,,,≥ 50 and < 65,0.796%,24.9%,2261
,,,65 or more,1.7%,29.4%,3654
,,,No value,-,-,10 or fewer
,,,Total,1.3%,22.3%,14873
,,Total,Less than 1,12.6%,55.6%,7979
,,,≥ 1 and < 5,5.8%,48.2%,14775
,,,≥ 5 and < 18,1.1%,36.7%,14225
,,,≥ 18 and < 50,0.884%,35%,39613
,,,≥ 50 and < 65,1.7%,42.3%,18788
,,,65 or more,2.5%,49%,33871
,,,No value,-,-,10 or fewer
,,,Total,2.7%,42.7%,129251
,Jan 8 – Jan 14,Armed Forces America,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,10 or fewer
,,,≥ 5 and < 18,-,-,10 or fewer
,,,≥ 18 and < 50,-,-,10 or fewer
,,,≥ 50 and < 65,-,-,10 or fewer
,,,65 or more,-,-,10 or fewer
,,,No value,-,-,10 or fewer
,,,Total,-,-,10 or fewer
,,Arkansas,Less than 1,11.2%,80.8%,125
,,,≥ 1 and < 5,6.1%,75.7%,263
,,,≥ 5 and < 18,-,59.6%,228
,,,≥ 18 and < 50,-,57.6%,297
,,,≥ 50 and < 65,-,58.8%,119
,,,65 or more,-,62.7%,212
,,,No value,-,-,10 or fewer
,,,Total,3.3%,65.1%,1244
,,Delaware,Less than 1,-,88.2%,34
,,,≥ 1 and < 5,-,88.5%,113
,,,≥ 5 and < 18,-,70.4%,98
,,,≥ 18 and < 50,-,25.6%,121
,,,≥ 50 and < 65,-,22.8%,57
,,,65 or more,-,40.4%,114
,,,No value,-,-,10 or fewer
,,,Total,2.2%,53.8%,537
,,Wyoming,Less than 1,-,-,10 or fewer
,,,≥ 1 and < 5,-,-,21
,,,≥ 5 and < 18,-,-,11
,,,≥ 18 and < 50,-,63%,27
,,,≥ 50 and < 65,-,78.6%,14
,,,65 or more,-,63%,27
,,,No value,-,-,10 or fewer
,,,Total,-,58.5%,106
,,Montana,Less than 1,-,-,17
,,,≥ 1 and < 5,-,57.1%,28
,,,≥ 5 and < 18,-,-,13
,,,≥ 18 and < 50,-,-,37
,,,≥ 50 and < 65,-,-,13
,,,65 or more,-,-,33
,,,No value,-,-,10 or fewer
,,,Total,12.1%,34%,141
,,Kentucky,Less than 1,11.7%,59.1%,137
,,,≥ 1 and < 5,-,57%,256
,,,≥ 5 and < 18,-,44.7%,237
,,,≥ 18 and < 50,-,31.8%,399
,,,≥ 50 and < 65,-,41.3%,240
,,,65 or more,-,45.3%,424
,,,No value,-,-,10 or fewer
,,,Total,1.9%,44.4%,1693
,,Illinois,Less than 1,12.2%,77.8%,189
,,,≥ 1 and < 5,5.4%,64.9%,410
,,,≥ 5 and < 18,-,45.1%,499
,,,≥ 18 and < 50,1.2%,42.3%,1037
,,,≥ 50 and < 65,-,54.5%,545
,,,65 or more,3.7%,58.4%,997
,,,No value,-,-,10 or fewer
,,,Total,3%,53.2%,3677
,,West Virginia,Less than 1,-,75.7%,37
,,,≥ 1 and < 5,-,79.5%,73
,,,≥ 5 and < 18,-,71.6%,95
,,,≥ 18 and < 50,-,65.3%,222
,,,≥ 50 and < 65,-,74%,123
,,,65 or more,-,76.4%,254
,,,No value,-,-,10 or fewer
,,,Total,3%,72.6%,804
,,Iowa,Less than 1,-,57.7%,78
,,,≥ 1 and < 5,-,68.3%,164
,,,≥ 5 and < 18,-,53.1%,113
,,,≥ 18 and < 50,-,52.2%,245
,,,≥ 50 and < 65,-,58.9%,112
,,,65 or more,4.9%,70.6%,245
