Session Title,"Opioid Overdoses in ED, State Month Age",,,,
Session Description,ED encountersWA-WY by countycount pts with ED diagnosis opioid overdose,,,,
Session ID,2766034,,,,
Data Model,ED Encounters,,,,
Population Base,All ED Encounters,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,
Session Date Range,1/1/2025 - 9/30/2025 (Based On Arrival Date),,,,
Measure,Number of ED Encounters,,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,10/16/2025,,,,
,,,,,
,,,,,
,,,ED Diagnoses,"ICD-10 OPIOID OVERDOSE, Initial Encounter",None of the above
Year,Month,State of Residence (U.S.),Age at Time of Visit,,
,,,≥ 15 and < 25 Years,10 or fewer,8378
,,,≥ 25 and < 45 Years,25,17652
,,,≥ 45 and < 65 Years,11,17424
,,,65 Years or more,10 or fewer,17836
,,,No value,10 or fewer,10 or fewer
,,,Total,50,75367
,,Wisconsin,Less than 15 Years,10 or fewer,15165
,,,≥ 15 and < 25 Years,10 or fewer,8309
,,,≥ 25 and < 45 Years,12,17394
,,,≥ 45 and < 65 Years,10 or fewer,16685
,,,65 Years or more,10 or fewer,19676
,,,No value,10 or fewer,10 or fewer
,,,Total,20,77229
,,Minnesota,Less than 15 Years,10 or fewer,10779
,,,≥ 15 and < 25 Years,10 or fewer,7972
,,,≥ 25 and < 45 Years,57,17483
,,,≥ 45 and < 65 Years,17,15374
,,,65 Years or more,10 or fewer,19861
,,,No value,10 or fewer,10 or fewer
,,,Total,84,71469
,,Kentucky,Less than 15 Years,10 or fewer,14105
,,,≥ 15 and < 25 Years,10 or fewer,7449
,,,≥ 25 and < 45 Years,26,16059
,,,≥ 45 and < 65 Years,14,16064
,,,65 Years or more,10 or fewer,17510
,,,No value,10 or fewer,10 or fewer
,,,Total,49,71187
,,Maryland,Less than 15 Years,10 or fewer,8797
,,,≥ 15 and < 25 Years,10 or fewer,7156
,,,≥ 25 and < 45 Years,16,17417
,,,≥ 45 and < 65 Years,18,15839
,,,65 Years or more,10 or fewer,17334
,,,No value,10 or fewer,10 or fewer
,,,Total,43,66543
,,Oregon,Less than 15 Years,10 or fewer,8604
,,,≥ 15 and < 25 Years,10 or fewer,5522
,,,≥ 25 and < 45 Years,31,12285
,,,≥ 45 and < 65 Years,14,10540
,,,65 Years or more,10 or fewer,12555
,,,No value,10 or fewer,10 or fewer
,,,Total,61,49506
,,Iowa,Less than 15 Years,10 or fewer,7774
,,,≥ 15 and < 25 Years,10 or fewer,4259
,,,≥ 25 and < 45 Years,10 or fewer,8995
,,,≥ 45 and < 65 Years,10 or fewer,8478
,,,65 Years or more,10 or fewer,10650
,,,No value,10 or fewer,10 or fewer
,,,Total,12,40156
,,Oklahoma,Less than 15 Years,10 or fewer,9905
,,,≥ 15 and < 25 Years,10 or fewer,4676
,,,≥ 25 and < 45 Years,10 or fewer,10431
,,,≥ 45 and < 65 Years,10 or fewer,9409
,,,65 Years or more,10 or fewer,10108
,,,No value,10 or fewer,10 or fewer
,,,Total,15,44529
,,West Virginia,Less than 15 Years,10 or fewer,5835
,,,≥ 15 and < 25 Years,10 or fewer,4277
,,,≥ 25 and < 45 Years,10 or fewer,8843
,,,≥ 45 and < 65 Years,10 or fewer,9872
,,,65 Years or more,10 or fewer,11545
,,,No value,10 or fewer,10 or fewer
,,,Total,10 or fewer,40372
,,Arizona,Less than 15 Years,10 or fewer,5172
,,,≥ 15 and < 25 Years,10 or fewer,3830
,,,≥ 25 and < 45 Years,49,9153
,,,≥ 45 and < 65 Years,10 or fewer,8739
