Session Title,Number of ED Encounters by State of Residence (U.S.) and Age at Time of Visit Range,
,≥ 50 and < 65 Years,1835
,65 Years or more,2085
,No value,10 or fewer
,Total,10349
Total,Less than 1 Years,21810
,≥ 1 and < 5 Years,42564
,≥ 5 and < 18 Years,63293
,≥ 18 and < 50 Years,291228
,≥ 50 and < 65 Years,128546
,65 Years or more,185384
,No value,10 or fewer
,Total,732826
