Session Title,"Opioid Overdoses in ED, State Month Age",,,,,
Session ID,2768312,,,,,
Data Model,ED Encounters,,,,,
Population Base,All ED Encounters,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,,
Session Date Range,1/1/2023 - 3/31/2024 (Based On Arrival Date),,,,,
Measure,Number of ED Encounters,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,10/22/2025,,,,,
,,,,,,
,,,,,,
,,,ED Diagnoses,"ICD-10 OPIOID OVERDOSE, Initial Encounter",None of the above,"Total: Total includes all data, including data from columns not currently displayed."
Year,Month,State of Residence (U.S.),Age at Time of Visit,,,
,,,≥ 15 and < 25 Years,10 or fewer,737,737
,,,≥ 25 and < 45 Years,10 or fewer,1614,1621
,,,≥ 45 and < 65 Years,10 or fewer,1798,1800
,,,65 Years or more,10 or fewer,2735,2736
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,10 or fewer,7614,7624
,,South Dakota,Less than 15 Years,10 or fewer,1014,1014
,,,≥ 15 and < 25 Years,10 or fewer,873,873
,,,≥ 25 and < 45 Years,10 or fewer,1712,1712
,,,≥ 45 and < 65 Years,10 or fewer,1563,1563
,,,65 Years or more,10 or fewer,1794,1794
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,10 or fewer,6956,6956
,,Montana,Less than 15 Years,10 or fewer,782,782
,,,≥ 15 and < 25 Years,10 or fewer,656,656
,,,≥ 25 and < 45 Years,10 or fewer,1319,1323
,,,≥ 45 and < 65 Years,10 or fewer,1092,1093
,,,65 Years or more,10 or fewer,1253,1255
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,10 or fewer,5102,5109
,,Utah,Less than 15 Years,10 or fewer,233,233
,,,≥ 15 and < 25 Years,10 or fewer,833,833
,,,≥ 25 and < 45 Years,10 or fewer,2179,2179
,,,≥ 45 and < 65 Years,10 or fewer,1704,1705
,,,65 Years or more,10 or fewer,1171,1171
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,10 or fewer,6120,6121
,,Wyoming,Less than 15 Years,10 or fewer,590,591
