Session Title,HbA1c 7.5+ and HbA1c 7.0+ and HbA1c 6.5+ and Number of Patients by Age in Years (Current) Range and State of Residence (U.S.),,,,
Session ID,2748873,,,,
Data Model,Patients,,,,
Population Base,All Patients,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Base Patient,,,,
Session Date Range,1/1/2023 - 7/10/2025,,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,8/11/2025,,,,
,,,,,
,,,,,
,Measures,HbA1c 7.5+ (%),HbA1c 7.0+ (%),HbA1c 6.5+ (%),Number of Patients
Age in Years (Current),State of Residence (U.S.),,,,
Less than 18,Federated States of Micronesia,-,-,-,10 or fewer
,Northern Mariana Islands,-,-,-,10 or fewer
,Marshall Islands,-,-,-,10 or fewer
,North Carolina,9.9%,11.7%,14.8%,880545
,Maine,8.4%,9.7%,11.8%,124524
,Guam,9.9%,10.8%,13.3%,203
,Illinois,9.9%,11.7%,14.5%,841461
,Delaware,10.8%,12.9%,16.6%,63259
,Michigan,9.2%,11%,13.9%,764425
,Oklahoma,10.2%,11.9%,14.2%,177945
,Pennsylvania,8.7%,10.4%,13.4%,1089903
,Missouri,8.9%,10.6%,13.4%,162858
,Virginia,8.6%,10.2%,12.9%,749722
,Louisiana,9.2%,10.8%,13.5%,332404
,Virgin Islands,5.4%,6.8%,9.8%,1465
,Nebraska,8.5%,10.2%,12.7%,113265
,Kansas,8.3%,9.9%,12.7%,136950
,Maryland,8%,9.6%,12.1%,345120
,Iowa,9.4%,11.1%,13.5%,231992
,Arkansas,9.4%,10.9%,13%,162404
,Idaho,8.3%,9.9%,12.3%,127498
,North Dakota,9.1%,10.7%,12.8%,73459
,Wisconsin,8.6%,10%,12.2%,455843
,Tennessee,7.9%,9.5%,12%,239568
,Minnesota,8.2%,9.5%,11.6%,369699
,New York,7.4%,8.9%,11.4%,1121505
,New Jersey,7.3%,9%,11.8%,480398
,New Hampshire,6.7%,7.9%,9.7%,97453
,South Dakota,8.1%,9.5%,11.4%,57615
,Wyoming,7.1%,8.5%,11%,24763
,New Mexico,6.8%,8.1%,10%,52116
,Massachusetts,7.4%,8.9%,11.3%,508110
,Hawaii,7.3%,8.6%,10.8%,113285
,Connecticut,6.9%,8.2%,10.5%,408751
