Session Title,Number of ED Encounters and Percent with Self-Harm Dx by State of Residence (U.S.) and Age at Time of Visit Range,,,,
Session ID,2758643,,,,
Data Model,ED Encounters,,,,
Population Base,All ED Encounters,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,
Session Date Range,1/1/2023 - 8/27/2025 (Based On Arrival Date),,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,9/19/2025,,,,
,,,,,
,,,,,
,,,Measures,Number of ED Encounters,Percent with Self-Harm Dx (%)
State of Residence (U.S.),Age at Time of Visit,Year,Month,,
,,,May,353147,0.108%
,,,Jun,327631,0.107%
,,,Jul,335800,0.094%
,,,Aug,351665,0.102%
,,,Sep,349242,0.095%
,,,Oct,367491,0.097%
,,,Nov,354654,0.096%
,,,Dec,365583,0.08%
,,2024,Jan,363209,0.089%
,,,Feb,342406,0.098%
,,,Mar,361158,0.089%
,,,Apr,356726,0.092%
,,,May,368375,0.089%
,,,Jun,341505,0.09%
,,,Jul,357643,0.093%
,,,Aug,355652,0.086%
,,,Sep,363112,0.098%
,,,Oct,367882,0.095%
,,,Nov,397620,0.094%
,,,Dec,427003,0.08%
,,2025,Jan,430190,0.083%
,,,Feb,389778,0.091%
,,,Mar,417938,0.089%
,,,Apr,407779,0.096%
,,,May,418444,0.09%
,,,Jun,390868,0.094%
,,,Jul,402466,0.092%
,,,Aug 1 – Aug 27,363611,0.094%
Ohio,Less than 10 Years,2023,Jan,27542,-
,,,Feb,30164,-
,,,Mar,35438,-
,,,Apr,32806,-
,,,May,34760,-
,,,Jun,27280,-
,,,Jul,26301,-
,,,Aug,27156,-
,,,Sep,32052,-
,,,Oct,36345,-
,,,Nov,40490,-
,,,Dec,46669,-
,,2024,Jan,37351,-
,,,Feb,41428,-
,,,Mar,39625,-
,,,Apr,34961,-
,,,May,36621,-
,,,Jun,27711,-
,,,Jul,27060,-
,,,Aug,28381,-
,,,Sep,32062,-
,,,Oct,34926,-
,,,Nov,35461,-
,,,Dec,41992,-
,,2025,Jan,34893,-
,,,Feb,38267,-
,,,Mar,36029,-
,,,Apr,33528,-
,,,May,33358,-
,,,Jun,28315,-
,,,Jul,28921,-
,,,Aug 1 – Aug 27,25388,-
,≥ 10 and < 15 Years,2023,Jan,9973,0.551%
,,,Feb,11044,0.498%
,,,Mar,11907,0.546%
,,,Apr,11539,0.459%
,,,May,12677,0.284%
,,,Jun,8610,0.29%
,,,Jul,8484,0.342%
,,,Aug,10354,0.319%
,,,Sep,13355,0.262%
,,,Oct,13237,0.416%
,,,Nov,11928,0.386%
,,,Dec,12289,0.26%
,,2024,Jan,12592,0.389%
,,,Feb,15183,0.29%
,,,Mar,13517,0.303%
,,,Apr,13353,0.404%
,,,May,13873,0.259%
,,,Jun,9686,0.444%
,,,Jul,9830,0.458%
,,,Aug,11355,0.414%
,,,Sep,14496,0.379%
,,,Oct,14670,0.375%
,,,Nov,12708,0.401%
,,,Dec,11787,0.416%
,,2025,Jan,11366,0.431%
,,,Feb,13164,0.243%
,,,Mar,12753,0.321%
,,,Apr,12729,0.464%
,,,May,12572,0.35%
,,,Jun,9540,0.398%
,,,Jul,9711,0.463%
,,,Aug 1 – Aug 27,9866,0.375%
,≥ 15 and < 20 Years,2023,Jan,15433,0.752%
,,,Feb,14920,0.637%
,,,Mar,16567,0.646%
,,,Apr,15479,0.562%
,,,May,16197,0.574%
,,,Jun,13997,0.414%
,,,Jul,14973,0.521%
,,,Aug,16855,0.516%
,,,Sep,18554,0.464%
,,,Oct,19570,0.603%
,,,Nov,17864,0.549%
,,,Dec,18225,0.516%
,,2024,Jan,18470,0.514%
,,,Feb,19241,0.483%
,,,Mar,18257,0.564%
,,,Apr,18439,0.597%
,,,May,18888,0.524%
,,,Jun,16746,0.514%
,,,Jul,17580,0.489%
,,,Aug,18930,0.534%
,,,Sep,21368,0.604%
,,,Oct,21524,0.669%
,,,Nov,19519,0.599%
,,,Dec,19415,0.5%
,,2025,Jan,19312,0.518%
,,,Feb,19143,0.486%
,,,Mar,18985,0.527%
,,,Apr,18824,0.595%
,,,May,18810,0.601%
,,,Jun,17604,0.591%
,,,Jul,18430,0.553%
,,,Aug 1 – Aug 27,16884,0.575%
,≥ 20 and < 30 Years,2023,Jan,42571,0.256%
,,,Feb,38825,0.25%
,,,Mar,44339,0.275%
,,,Apr,41840,0.234%
,,,May,44282,0.199%
,,,Jun,43173,0.236%
