"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Catawba County, NC","37035","15-19 years","15-19",74
,"Catawba County, NC","37035","20-24 years","20-24",347
,"Catawba County, NC","37035","25-29 years","25-29",537
,"Catawba County, NC","37035","30-34 years","30-34",471
,"Catawba County, NC","37035","35-39 years","35-39",197
,"Catawba County, NC","37035","40-44 years","40-44",47
,"Catawba County, NC","37035","45-49 years","45-49",Suppressed
,"Catawba County, NC","37035","50 years and over","50+",0
,"Craven County, NC","37049","Under 15 years","15",Suppressed
,"Craven County, NC","37049","15-19 years","15-19",58
,"Craven County, NC","37049","20-24 years","20-24",335
,"Craven County, NC","37049","25-29 years","25-29",390
,"Craven County, NC","37049","30-34 years","30-34",291
,"Craven County, NC","37049","35-39 years","35-39",133
,"Craven County, NC","37049","40-44 years","40-44",24
,"Craven County, NC","37049","45-49 years","45-49",Suppressed
,"Craven County, NC","37049","50 years and over","50+",0
,"Cumberland County, NC","37051","Under 15 years","15",Suppressed
,"Cumberland County, NC","37051","15-19 years","15-19",223
,"Cumberland County, NC","37051","20-24 years","20-24",1355
,"Cumberland County, NC","37051","25-29 years","25-29",1643
,"Cumberland County, NC","37051","30-34 years","30-34",1193
,"Cumberland County, NC","37051","35-39 years","35-39",542
,"Cumberland County, NC","37051","40-44 years","40-44",122
,"Cumberland County, NC","37051","45-49 years","45-49",Suppressed
,"Cumberland County, NC","37051","50 years and over","50+",0
,"Davidson County, NC","37057","Under 15 years","15",Suppressed
,"Davidson County, NC","37057","15-19 years","15-19",72
,"Davidson County, NC","37057","20-24 years","20-24",404
,"Davidson County, NC","37057","25-29 years","25-29",583
,"Davidson County, NC","37057","30-34 years","30-34",508
,"Davidson County, NC","37057","35-39 years","35-39",196
,"Davidson County, NC","37057","40-44 years","40-44",35
,"Davidson County, NC","37057","45-49 years","45-49",Suppressed
,"Davidson County, NC","37057","50 years and over","50+",0
,"Durham County, NC","37063","Under 15 years","15",Suppressed
,"Durham County, NC","37063","15-19 years","15-19",151
,"Durham County, NC","37063","20-24 years","20-24",552
,"Durham County, NC","37063","25-29 years","25-29",914
,"Durham County, NC","37063","30-34 years","30-34",1419
,"Durham County, NC","37063","35-39 years","35-39",857
,"Durham County, NC","37063","40-44 years","40-44",159
,"Durham County, NC","37063","45-49 years","45-49",12
,"Durham County, NC","37063","50 years and over","50+",0
,"Forsyth County, NC","37067","Under 15 years","15",Suppressed
,"Forsyth County, NC","37067","15-19 years","15-19",239
,"Forsyth County, NC","37067","20-24 years","20-24",788
,"Forsyth County, NC","37067","25-29 years","25-29",1216
