"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Stanislaus County, CA","06099","25-29 years","25-29",1986
,"Stanislaus County, CA","06099","30-34 years","30-34",1931
,"Stanislaus County, CA","06099","35-39 years","35-39",1027
,"Stanislaus County, CA","06099","40-44 years","40-44",254
,"Stanislaus County, CA","06099","45-49 years","45-49",22
,"Stanislaus County, CA","06099","50 years and over","50+",Suppressed
,"Tulare County, CA","06107","Under 15 years","15",Suppressed
,"Tulare County, CA","06107","15-19 years","15-19",316
,"Tulare County, CA","06107","20-24 years","20-24",1426
,"Tulare County, CA","06107","25-29 years","25-29",1903
,"Tulare County, CA","06107","30-34 years","30-34",1717
,"Tulare County, CA","06107","35-39 years","35-39",947
,"Tulare County, CA","06107","40-44 years","40-44",226
,"Tulare County, CA","06107","45-49 years","45-49",18
,"Tulare County, CA","06107","50 years and over","50+",Suppressed
,"Ventura County, CA","06111","Under 15 years","15",Suppressed
,"Ventura County, CA","06111","15-19 years","15-19",313
,"Ventura County, CA","06111","20-24 years","20-24",1045
,"Ventura County, CA","06111","25-29 years","25-29",1925
,"Ventura County, CA","06111","30-34 years","30-34",2790
,"Ventura County, CA","06111","35-39 years","35-39",1840
,"Ventura County, CA","06111","40-44 years","40-44",454
,"Ventura County, CA","06111","45-49 years","45-49",42
,"Ventura County, CA","06111","50 years and over","50+",Suppressed
,"Yolo County, CA","06113","Under 15 years","15",0
,"Yolo County, CA","06113","15-19 years","15-19",36
,"Yolo County, CA","06113","20-24 years","20-24",204
,"Yolo County, CA","06113","25-29 years","25-29",445
,"Yolo County, CA","06113","30-34 years","30-34",630
,"Yolo County, CA","06113","35-39 years","35-39",399
,"Yolo County, CA","06113","40-44 years","40-44",86
,"Yolo County, CA","06113","45-49 years","45-49",11
,"Yolo County, CA","06113","50 years and over","50+",0
,"Unidentified Counties, CA","06999","Under 15 years","15",Suppressed
,"Unidentified Counties, CA","06999","15-19 years","15-19",375
,"Unidentified Counties, CA","06999","20-24 years","20-24",1569
,"Unidentified Counties, CA","06999","25-29 years","25-29",2618
,"Unidentified Counties, CA","06999","30-34 years","30-34",2745
,"Unidentified Counties, CA","06999","35-39 years","35-39",1625
,"Unidentified Counties, CA","06999","40-44 years","40-44",370
,"Unidentified Counties, CA","06999","45-49 years","45-49",29
,"Unidentified Counties, CA","06999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: California (06)"
"Year: 2024"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 19, 2026 1:52:22 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
