"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Wichita County, TX","48485","More than one race","M",54
,"Wichita County, TX","48485","Unknown or Not Stated","UNK",0
,"Wichita County, TX","48485","Not Available","NA",0
,"Wichita County, TX","48485","Not Reported","NR",0
,"Williamson County, TX","48491","American Indian or Alaska Native","1002-5",32
,"Williamson County, TX","48491","Asian","A",747
,"Williamson County, TX","48491","Black or African American","2054-5",532
,"Williamson County, TX","48491","Native Hawaiian or Other Pacific Islander","NHOPI",14
,"Williamson County, TX","48491","White","2106-3",5239
,"Williamson County, TX","48491","More than one race","M",131
,"Williamson County, TX","48491","Unknown or Not Stated","UNK",0
,"Williamson County, TX","48491","Not Available","NA",0
,"Williamson County, TX","48491","Not Reported","NR",0
,"Unidentified Counties, TX","48999","American Indian or Alaska Native","1002-5",224
,"Unidentified Counties, TX","48999","Asian","A",597
,"Unidentified Counties, TX","48999","Black or African American","2054-5",4257
,"Unidentified Counties, TX","48999","Native Hawaiian or Other Pacific Islander","NHOPI",134
,"Unidentified Counties, TX","48999","White","2106-3",50596
,"Unidentified Counties, TX","48999","More than one race","M",638
,"Unidentified Counties, TX","48999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, TX","48999","Not Available","NA",0
,"Unidentified Counties, TX","48999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Texas (48)"
"Year: 2019"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 6:37:09 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 6:37:09 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
